epoch,train_loss,val_loss,Acc,Kappa,mIoU,mIoU0,mIoU1,mIoU2,FWIoU,Precision,Precision0,Precision1,Precision2,Recall,Recall0,Recall1,Recall2,F1_score,F1_score0,F1_score1,F1_score2,F2_score,F2_score0,F2_score1,F2_score2
0,0.796317878,0.563774839,0.798209054,0.585543725,0.560154273,0.788624149,0.690198678,0.201639991,0.738270069,0.673170966,0.991473852,0.815089221,0.212949826,0.801286844,0.794008918,0.818331528,0.791520086,0.678045744,0.881822092,0.816707152,0.335607987,0.719158586,0.826948426,0.817681002,0.512846329
1,0.619983937,0.518737338,0.827130514,0.633102315,0.589868876,0.813461974,0.73166012,0.224484533,0.765962206,0.680424553,0.991719206,0.806418327,0.243136126,0.817292568,0.819025085,0.887544836,0.745307782,0.702945213,0.897137057,0.84503894,0.366659643,0.748684551,0.848578722,0.870039462,0.527435471
2,0.552658728,0.47729044,0.812015594,0.615192898,0.589358797,0.789393112,0.759889193,0.218794085,0.752250172,0.686462944,0.996070386,0.833533235,0.229785209,0.836100886,0.791859157,0.895841309,0.820602191,0.701633712,0.882302611,0.863564811,0.359033713,0.750095774,0.82571631,0.882645448,0.541925566
3,0.510244125,0.420853905,0.819379776,0.626388948,0.600450946,0.800705711,0.77191545,0.228731676,0.763613267,0.700326724,0.995677112,0.867712642,0.237590417,0.846069613,0.803498986,0.874872722,0.85983713,0.71096921,0.889324337,0.871277967,0.372305327,0.757821727,0.835761466,0.873431267,0.564272448
4,0.479175227,0.411240235,0.81030334,0.614634817,0.596716968,0.786261031,0.781966893,0.22192298,0.753965352,0.698709984,0.997077422,0.869827732,0.229224798,0.849386556,0.788077269,0.885603426,0.874478974,0.707074374,0.880342809,0.877644687,0.363235624,0.754818521,0.822561129,0.882402672,0.559491761
5,0.460215915,0.392870683,0.845607213,0.667735017,0.625286085,0.832442332,0.784822296,0.258593627,0.791885891,0.71394755,0.994024241,0.877209985,0.270608425,0.857258523,0.836629142,0.881681913,0.853464514,0.732975152,0.908560464,0.879440259,0.410924732,0.780426444,0.863990208,0.880783881,0.596505242
6,0.43986083,0.382431209,0.819272601,0.62974891,0.60648114,0.791899496,0.798709039,0.228834885,0.761655876,0.698272015,0.997172692,0.859344675,0.23829868,0.854875283,0.793681543,0.918828013,0.852116294,0.714799809,0.883865968,0.888091422,0.372442035,0.765375198,0.827452891,0.906281554,0.562391148
7,0.423526594,0.369178664,0.841977437,0.663992395,0.625048625,0.822020989,0.79905984,0.254065046,0.786192957,0.708826845,0.995222669,0.864551322,0.266706543,0.8604857,0.825277466,0.913407677,0.842771958,0.731937474,0.902317799,0.888308235,0.405186389,0.782064334,0.85445912,0.903199596,0.588534286
8,0.414112326,0.367923245,0.837600829,0.657991817,0.620291969,0.813420465,0.8012252,0.246230242,0.779555863,0.70126352,0.996316247,0.847052144,0.260422168,0.857135788,0.815874222,0.936747364,0.818785778,0.72730553,0.897111813,0.889644666,0.39516011,0.778970062,0.846537359,0.917320167,0.573052659
9,0.394682551,0.35081245,0.848890032,0.676072093,0.63466317,0.828855956,0.812020039,0.263113515,0.794244343,0.714760401,0.99513271,0.872956435,0.276192057,0.866849416,0.832229828,0.920840698,0.847477723,0.739763544,0.906420157,0.896259442,0.416611032,0.790242577,0.860399238,0.910848149,0.599480343
